wiek;przychod;czas_na_stronie_min;liczba_wizyt;godzina_wejscia;dzien_tygodnia;typ_klienta;region;kupil
30;1563;41;9;4;3;powracajacy;poludnie;0
56;4768;58;19;5;2;powracajacy;centrum;0
32;3929;56;2;20;1;nowy;polnoc;0
60;9692;42;15;12;4;powracajacy;polnoc;0
20;3612;29;5;5;5;powracajacy;centrum;0
18;6282;32;2;4;1;nowy;polnoc;0
43;9891;1;16;13;7;nowy;centrum;0
23;6567;47;17;4;5;powracajacy;centrum;0
60;7856;50;14;10;2;powracajacy;polnoc;0
49;4971;52;3;16;2;powracajacy;polnoc;1
40;2889;5;6;1;4;powracajacy;polnoc;0
39;7960;40;15;3;1;nowy;zachod;0
28;5635;26;5;19;5;nowy;polnoc;1
59;5558;43;7;19;1;nowy;zachod;0
53;2078;17;11;10;6;nowy;polnoc;0
58;1194;16;18;21;2;vip;poludnie;1
30;5965;51;17;13;3;nowy;centrum;0
26;1661;21;17;8;4;nowy;zachod;0
39;9452;22;2;21;7;vip;zachod;1
56;6322;44;19;1;1;nowy;poludnie;0
25;3589;31;1;4;1;powracajacy;zachod;0
33;3869;38;16;5;3;powracajacy;poludnie;0
68;5945;28;10;2;7;nowy;wschod;0
23;5703;45;6;2;2;nowy;centrum;0
23;9494;12;13;19;3;powracajacy;polnoc;0
24;7957;2;5;20;5;powracajacy;zachod;0
63;4349;19;15;15;4;nowy;polnoc;0
51;5520;44;8;19;5;nowy;wschod;1
51;7091;31;16;9;4;powracajacy;poludnie;0
49;8084;42;13;9;3;powracajacy;poludnie;0
43;6141;48;7;10;1;nowy;poludnie;0
37;2080;12;7;17;4;nowy;polnoc;0
55;6530;32;9;9;5;vip;polnoc;0
58;1591;30;12;16;1;powracajacy;wschod;0
20;5143;1;12;16;4;nowy;zachod;0
39;9831;13;17;20;7;powracajacy;poludnie;1
43;2959;55;18;4;6;powracajacy;poludnie;0
22;2927;46;16;4;3;powracajacy;polnoc;0
29;8628;29;3;17;6;powracajacy;poludnie;1
55;6676;1;16;9;6;nowy;wschod;0
49;8425;43;14;21;3;nowy;zachod;0
60;7003;3;7;9;2;vip;centrum;0
48;9606;50;2;4;2;vip;wschod;1
60;5874;36;2;15;5;powracajacy;centrum;0
28;7396;56;15;16;4;nowy;poludnie;0
48;7516;43;9;10;2;vip;centrum;0
45;7021;50;16;19;7;powracajacy;polnoc;1
25;4467;15;11;12;1;powracajacy;zachod;0
19;8182;39;3;21;1;nowy;zachod;0
49;1307;8;9;18;4;nowy;centrum;0
44;4784;38;12;0;3;powracajacy;poludnie;0
61;8928;31;18;14;1;powracajacy;poludnie;0
26;9762;31;15;11;3;powracajacy;zachod;0
23;7386;19;11;14;5;vip;poludnie;1
32;8977;46;13;3;6;powracajacy;centrum;0
51;4283;25;11;4;6;powracajacy;wschod;0
41;8306;56;2;22;4;nowy;zachod;0
33;8680;50;10;19;1;nowy;poludnie;1
68;5145;44;2;3;2;powracajacy;poludnie;0
61;7956;5;5;2;4;nowy;poludnie;0
31;4665;59;10;23;7;nowy;poludnie;1
22;6384;35;18;8;6;nowy;centrum;0
30;6115;47;10;14;1;nowy;zachod;0
53;6423;48;15;23;7;nowy;poludnie;0
51;1926;57;16;20;7;powracajacy;wschod;0
33;2369;38;16;11;7;nowy;wschod;1
25;5587;46;2;18;7;powracajacy;polnoc;1
67;7470;46;2;13;5;powracajacy;wschod;0
54;3139;51;16;0;6;powracajacy;poludnie;0
39;8159;18;5;11;1;vip;wschod;1
67;9189;26;16;14;3;powracajacy;polnoc;0
45;3288;23;1;6;5;nowy;zachod;0
67;7679;56;15;19;5;powracajacy;centrum;0
63;5631;2;5;14;7;nowy;centrum;0
23;2600;49;8;9;7;powracajacy;zachod;0
62;2874;31;9;4;4;nowy;polnoc;0
30;5452;25;16;17;7;nowy;wschod;0
32;8737;31;7;14;2;nowy;centrum;0
43;6324;32;10;7;3;powracajacy;poludnie;0
41;4448;30;19;22;7;nowy;poludnie;0
45;5302;7;11;16;2;nowy;centrum;0
63;1526;37;4;20;7;nowy;centrum;0
38;1157;6;1;3;3;vip;poludnie;1
19;2868;39;1;13;4;powracajacy;zachod;0
59;7841;58;9;17;3;powracajacy;centrum;0
41;7386;30;8;3;2;powracajacy;polnoc;0
57;4725;46;12;1;6;nowy;wschod;0
69;3055;28;10;21;6;powracajacy;polnoc;0
56;5947;25;5;11;4;nowy;zachod;0
66;1021;27;18;17;2;powracajacy;zachod;0
69;2354;3;3;4;5;nowy;poludnie;0
40;9687;34;2;13;3;vip;poludnie;1
38;8225;53;6;8;6;powracajacy;centrum;0
55;2782;35;16;19;7;nowy;wschod;0
68;7683;52;14;4;4;nowy;polnoc;0
67;2763;12;18;8;6;powracajacy;wschod;0
58;1817;16;6;9;4;nowy;polnoc;0
26;8861;20;10;4;2;vip;zachod;1
66;1981;39;5;12;7;vip;poludnie;1
62;7830;24;5;3;2;nowy;zachod;0
21;6514;45;6;15;2;powracajacy;centrum;0
21;2626;4;8;1;4;powracajacy;polnoc;0
39;6936;25;14;22;3;powracajacy;poludnie;1
37;4882;57;1;15;5;nowy;poludnie;0
68;9476;59;7;16;3;vip;zachod;1
25;1931;18;5;20;1;nowy;poludnie;0
24;1008;18;14;16;6;nowy;poludnie;0
57;8857;42;6;8;1;powracajacy;wschod;0
48;5601;55;17;11;3;nowy;polnoc;0
49;4636;3;18;23;2;nowy;wschod;0
67;7651;34;1;15;4;powracajacy;polnoc;0
31;6424;46;9;5;1;nowy;poludnie;1
40;3119;2;14;3;3;powracajacy;wschod;0
32;9839;12;4;3;3;powracajacy;wschod;0
33;3421;58;8;17;7;powracajacy;centrum;0
63;4995;10;15;0;3;nowy;centrum;0
41;9518;26;3;8;4;nowy;zachod;0
34;2374;1;16;7;2;nowy;wschod;0
47;9086;20;13;16;7;nowy;centrum;0
27;9705;27;7;21;3;powracajacy;zachod;0
55;3139;35;19;8;6;nowy;polnoc;0
21;2292;13;14;1;6;nowy;wschod;0
32;3677;44;19;13;1;powracajacy;polnoc;0
26;8691;12;11;1;3;powracajacy;zachod;0
33;8011;33;5;14;7;nowy;poludnie;1
40;1649;35;9;6;2;vip;wschod;0
20;7767;43;19;9;3;powracajacy;poludnie;0
49;3670;3;4;22;7;powracajacy;zachod;0
21;4542;58;4;6;2;nowy;poludnie;0
52;4050;40;16;9;5;nowy;polnoc;0
61;5956;28;18;20;7;nowy;zachod;0
48;7279;8;6;9;4;nowy;poludnie;0
34;8665;15;2;14;2;nowy;poludnie;1
33;6115;29;19;21;1;nowy;centrum;0
38;8426;36;1;2;4;nowy;poludnie;1
64;3691;19;16;2;3;powracajacy;zachod;0
18;2611;35;10;3;3;powracajacy;wschod;0
47;5973;40;1;5;4;nowy;wschod;0
49;2705;29;7;19;2;nowy;zachod;0
27;2147;29;19;12;3;nowy;polnoc;0
21;8340;50;6;16;5;powracajacy;poludnie;1
57;4842;5;3;7;2;nowy;wschod;0
59;1115;24;14;18;5;nowy;poludnie;0
40;7239;8;19;2;7;nowy;centrum;0
68;7068;18;9;20;2;nowy;poludnie;0
38;1787;10;2;6;5;powracajacy;zachod;0
38;4536;52;14;18;7;nowy;polnoc;0
29;4868;19;11;1;5;powracajacy;centrum;0
69;9251;51;15;13;7;powracajacy;zachod;0
34;6146;53;2;20;7;nowy;zachod;1
65;9952;6;11;15;4;nowy;centrum;0
57;9458;7;11;22;4;nowy;zachod;0
58;9119;19;16;23;2;powracajacy;polnoc;0
43;1966;11;15;23;3;vip;centrum;0
35;8648;8;11;8;3;nowy;wschod;0
30;5551;20;11;7;7;nowy;wschod;0
59;8224;39;4;3;4;nowy;poludnie;0
31;2253;42;14;23;3;nowy;wschod;0
68;6799;33;10;13;1;nowy;centrum;0
68;8644;42;7;18;3;nowy;poludnie;1
40;7941;12;16;14;3;powracajacy;zachod;0
45;6196;33;18;19;2;nowy;wschod;0
26;2631;22;16;4;3;nowy;wschod;0
30;1421;58;3;1;6;vip;centrum;1
59;8976;42;7;3;1;nowy;wschod;0
50;6356;26;8;16;7;powracajacy;poludnie;0
43;5580;39;1;4;6;powracajacy;polnoc;0
42;7462;40;19;5;2;nowy;zachod;0
49;7575;7;15;19;1;powracajacy;centrum;0
18;2393;8;10;1;3;nowy;poludnie;0
59;5974;48;12;19;2;powracajacy;zachod;0
57;7206;59;8;13;2;powracajacy;polnoc;0
19;8935;37;15;2;4;nowy;wschod;0
18;7973;3;9;3;3;nowy;poludnie;0
48;4418;17;17;14;1;powracajacy;poludnie;0
34;5138;27;2;0;4;nowy;centrum;0
62;2257;15;8;20;1;powracajacy;poludnie;0
52;6892;38;9;13;1;vip;poludnie;1
68;2680;19;6;2;5;nowy;polnoc;0
58;7881;46;8;20;4;powracajacy;polnoc;0
55;7641;45;14;9;3;vip;centrum;0
28;5160;2;2;3;2;powracajacy;centrum;0
24;9807;37;9;14;6;powracajacy;zachod;0
22;5679;15;8;3;3;nowy;zachod;0
45;4665;21;13;18;1;nowy;poludnie;0
64;4377;49;14;6;5;powracajacy;wschod;0
48;5576;45;12;21;6;nowy;centrum;0
58;8750;53;14;22;4;powracajacy;wschod;0
27;2586;23;13;13;1;powracajacy;centrum;0
66;9542;36;16;6;2;nowy;centrum;0
44;6170;48;18;0;7;nowy;poludnie;0
50;7342;5;3;0;4;powracajacy;wschod;0
29;9697;47;12;17;4;vip;polnoc;1
42;2834;9;2;17;2;nowy;zachod;0
43;5324;12;19;15;2;nowy;polnoc;0
42;1730;36;19;1;5;nowy;zachod;0
21;7548;56;3;5;7;nowy;wschod;1
27;5767;44;16;1;4;nowy;zachod;0
23;7245;18;14;21;4;powracajacy;polnoc;0
29;1204;18;14;15;1;vip;polnoc;0
42;6545;6;15;9;1;powracajacy;centrum;0
48;5929;46;14;8;7;powracajacy;wschod;0
44;8713;33;7;12;5;nowy;zachod;0
34;6107;22;9;17;4;vip;poludnie;1
61;9885;13;14;23;2;vip;poludnie;1
40;5924;51;13;18;6;powracajacy;centrum;0
25;6007;56;14;3;7;vip;polnoc;1
21;4278;5;19;16;7;nowy;wschod;0
64;1586;59;1;12;1;powracajacy;wschod;0
22;3998;7;5;13;5;nowy;centrum;0
57;3890;54;3;19;1;powracajacy;wschod;0
51;3351;45;16;2;4;nowy;polnoc;0
32;7786;15;5;12;5;powracajacy;polnoc;1
59;7047;41;18;3;4;nowy;wschod;0
26;7796;34;1;18;1;nowy;zachod;0
37;3008;58;2;2;7;nowy;polnoc;0
52;7233;58;12;6;2;nowy;polnoc;0
22;5029;18;5;3;4;nowy;centrum;0
49;6642;44;7;5;3;powracajacy;poludnie;0
48;3574;51;15;3;4;powracajacy;zachod;0
64;6407;3;19;21;6;nowy;wschod;0
58;5925;17;5;14;5;powracajacy;poludnie;0
26;8844;8;13;8;6;powracajacy;poludnie;1
56;6033;24;5;21;5;nowy;poludnie;0
33;9849;30;19;0;3;nowy;centrum;0
57;1147;34;11;3;7;nowy;polnoc;0
34;6058;23;19;2;1;nowy;zachod;0
68;6332;38;13;5;3;powracajacy;poludnie;0
69;5124;24;10;12;6;nowy;wschod;0
32;2811;46;19;21;2;powracajacy;polnoc;0
27;8606;52;13;23;1;vip;zachod;1
67;8954;59;14;5;1;nowy;zachod;0
57;3790;47;11;21;4;powracajacy;centrum;0
56;6359;15;9;10;2;powracajacy;centrum;0
21;7853;31;12;15;6;powracajacy;poludnie;0
27;3727;15;2;9;3;powracajacy;zachod;0
28;5202;17;1;18;1;nowy;centrum;1
45;6610;5;10;0;6;vip;wschod;0
68;8403;5;15;20;6;powracajacy;polnoc;0
40;8252;46;3;12;4;vip;poludnie;1
26;7754;31;12;10;3;powracajacy;poludnie;0
24;4528;5;5;12;3;nowy;polnoc;0
53;4073;7;1;20;5;powracajacy;polnoc;0
30;9387;59;14;4;2;nowy;zachod;0
62;1363;1;18;2;7;nowy;centrum;0
59;1987;7;5;19;3;nowy;wschod;0
62;4715;3;14;16;3;nowy;zachod;0
66;7039;25;6;7;5;nowy;polnoc;0
38;1673;54;5;2;3;nowy;wschod;0
43;9904;13;18;20;6;vip;wschod;1
28;1819;48;14;2;6;powracajacy;polnoc;0
43;2402;12;14;18;5;vip;centrum;0
51;6785;8;5;20;4;nowy;centrum;0
67;3150;25;13;8;3;powracajacy;poludnie;0
36;8321;10;9;21;7;powracajacy;poludnie;1
19;3865;12;6;17;3;nowy;wschod;0
36;6365;21;6;2;6;powracajacy;polnoc;0
27;2220;21;6;9;7;nowy;polnoc;0
31;7173;53;13;5;3;nowy;centrum;0
41;2093;8;17;4;7;powracajacy;wschod;1
63;4193;25;2;1;3;nowy;wschod;0
39;7321;27;13;20;3;nowy;polnoc;0
48;2677;16;5;4;2;powracajacy;centrum;0
34;4554;39;1;11;7;nowy;centrum;0
22;1171;18;4;2;5;nowy;poludnie;0
38;7416;25;2;3;4;nowy;zachod;0
18;2105;14;1;9;7;nowy;centrum;0
60;9237;7;2;0;2;nowy;centrum;0
18;5416;55;19;9;7;nowy;wschod;0
39;6279;30;9;17;5;vip;centrum;1
23;1075;59;15;21;4;vip;wschod;0
37;3551;19;3;5;4;nowy;poludnie;0
54;4359;9;3;0;7;powracajacy;poludnie;0
19;7076;59;19;13;4;powracajacy;poludnie;0
53;3862;8;4;22;7;powracajacy;centrum;0
41;5806;54;3;6;5;nowy;zachod;0
47;5384;44;7;19;5;vip;wschod;1
18;2718;20;7;9;7;vip;zachod;0
47;7963;26;9;21;7;vip;zachod;1
45;5360;5;3;21;7;nowy;zachod;0
23;6857;55;2;4;2;nowy;polnoc;0
32;2929;36;14;19;7;powracajacy;wschod;0
38;3429;34;10;0;1;nowy;polnoc;0
42;7447;53;2;13;4;nowy;centrum;0
27;1827;18;12;22;7;nowy;wschod;0
54;7168;45;19;19;7;powracajacy;zachod;0
29;4544;46;7;8;4;powracajacy;poludnie;0
58;5737;13;4;14;4;powracajacy;centrum;0
18;4472;38;14;14;1;nowy;polnoc;0
47;6601;19;1;15;1;powracajacy;poludnie;0
62;6650;57;19;6;2;nowy;polnoc;0
46;4577;39;18;9;7;vip;centrum;0
51;3965;17;17;14;7;powracajacy;poludnie;0
22;9765;31;18;2;2;powracajacy;wschod;0
61;5116;45;5;2;4;powracajacy;centrum;0
53;8423;56;13;2;6;nowy;zachod;0
44;2771;9;18;0;2;nowy;poludnie;0
21;5158;41;9;8;1;powracajacy;polnoc;0
55;9574;10;7;2;1;nowy;zachod;0
32;6207;17;13;18;4;nowy;poludnie;1
42;3499;58;5;20;3;nowy;centrum;0
22;6594;8;18;21;3;nowy;wschod;0
58;7916;37;19;6;1;vip;centrum;0
30;3310;40;18;13;7;powracajacy;zachod;0
51;6824;19;16;5;2;nowy;poludnie;0
30;2840;58;10;13;5;powracajacy;poludnie;1
51;1682;51;6;12;6;nowy;wschod;0
39;1796;54;8;12;6;powracajacy;poludnie;1
47;9009;30;5;11;4;nowy;poludnie;0
29;9888;44;11;19;3;powracajacy;zachod;0
31;4149;58;1;4;1;nowy;wschod;0
50;4337;18;11;3;1;nowy;zachod;0
27;1821;53;17;3;3;nowy;centrum;0
22;4645;33;14;23;4;powracajacy;centrum;0
28;6108;6;13;15;5;powracajacy;poludnie;0
57;8876;25;19;16;2;nowy;zachod;0
53;5299;24;16;16;2;powracajacy;centrum;0
68;3349;2;18;20;2;nowy;wschod;0
55;1888;5;5;13;2;powracajacy;zachod;0
22;9310;48;13;11;5;nowy;zachod;0
59;9326;12;15;11;4;powracajacy;wschod;0
26;9607;30;14;19;7;powracajacy;centrum;0
32;4127;15;15;0;1;nowy;polnoc;0
34;9642;10;14;15;4;nowy;polnoc;0
47;3427;31;4;17;7;nowy;centrum;0
44;8678;14;8;8;4;powracajacy;centrum;0
43;8081;25;5;21;2;powracajacy;polnoc;0
51;6359;21;11;12;6;nowy;polnoc;0
63;1727;9;6;14;4;powracajacy;poludnie;0
47;9678;24;11;18;3;nowy;centrum;0
26;5375;28;1;13;3;powracajacy;zachod;0
36;9764;44;1;20;6;powracajacy;centrum;1
25;4538;16;1;21;3;nowy;centrum;0
31;8028;51;3;2;5;powracajacy;wschod;1
65;3729;30;5;14;2;nowy;poludnie;0
60;5101;3;3;11;4;powracajacy;centrum;0
26;6810;56;4;17;3;nowy;polnoc;0
32;2708;51;18;21;2;nowy;centrum;0
39;7776;9;14;21;4;powracajacy;poludnie;1
35;8979;58;4;18;5;powracajacy;poludnie;1
62;7462;15;14;14;1;nowy;zachod;0
55;5522;52;3;15;4;nowy;zachod;0
20;3787;38;19;9;5;powracajacy;polnoc;0
41;3303;45;17;6;5;nowy;polnoc;0
20;6863;25;1;4;7;powracajacy;zachod;0
55;4683;16;12;8;3;nowy;zachod;0
69;2746;32;15;7;2;powracajacy;centrum;0
66;1000;42;7;10;6;powracajacy;zachod;0
19;6539;54;8;12;3;powracajacy;polnoc;0
54;8857;54;7;10;6;nowy;centrum;0
50;3374;13;9;10;6;nowy;centrum;0
22;5270;42;18;19;6;vip;wschod;1
33;1495;7;9;4;6;nowy;polnoc;0
67;3460;1;8;13;4;powracajacy;polnoc;0
31;6213;12;9;18;2;nowy;poludnie;1
56;1387;30;5;19;2;vip;polnoc;1
35;3094;7;2;10;3;powracajacy;centrum;1
65;5655;6;19;15;6;nowy;poludnie;1
34;3014;8;4;19;6;powracajacy;poludnie;0
18;6350;21;18;4;7;nowy;zachod;0
65;8550;50;8;8;1;nowy;polnoc;0
28;8466;58;15;20;3;nowy;poludnie;1
23;5323;16;9;10;7;powracajacy;zachod;0
50;2856;20;17;18;3;nowy;zachod;0
55;6332;59;16;4;6;powracajacy;polnoc;0
31;3724;41;7;15;5;powracajacy;zachod;0
36;6956;35;4;12;1;nowy;wschod;0
46;6676;48;18;22;5;nowy;wschod;0
24;8611;44;3;7;6;powracajacy;poludnie;1
52;5835;17;6;5;1;powracajacy;wschod;0
66;8803;47;3;13;1;powracajacy;centrum;0
48;8174;19;17;8;6;nowy;polnoc;0
57;1038;6;17;15;5;nowy;zachod;0
57;1300;56;10;22;3;vip;centrum;0
18;4824;41;15;14;7;powracajacy;wschod;0
58;6274;57;10;20;2;vip;wschod;1
37;2961;44;9;17;7;nowy;polnoc;0
68;4452;45;3;16;2;nowy;poludnie;1
42;1723;55;19;4;3;powracajacy;centrum;0
48;7231;59;7;3;6;nowy;polnoc;0
44;8837;48;11;15;7;powracajacy;wschod;0
58;1822;4;2;7;1;nowy;zachod;0
68;2999;2;3;5;6;powracajacy;zachod;0
66;7388;4;11;0;7;vip;centrum;0
20;7992;16;4;14;5;powracajacy;centrum;1
60;7972;41;6;22;2;powracajacy;wschod;0
66;4563;29;8;21;1;powracajacy;poludnie;0
44;6847;14;16;19;6;powracajacy;polnoc;0
52;2883;4;4;10;2;powracajacy;zachod;0
39;4687;3;13;5;7;vip;poludnie;1
36;4760;26;2;3;4;nowy;centrum;0
61;9475;12;4;22;1;powracajacy;wschod;0
51;9170;16;1;3;2;nowy;centrum;0
32;2146;51;13;1;6;powracajacy;zachod;0
24;7978;21;11;11;6;nowy;poludnie;0
25;9392;31;15;18;3;nowy;zachod;0
39;5195;3;6;17;2;nowy;wschod;0
44;3594;54;3;16;2;powracajacy;centrum;0
37;2112;52;3;3;2;nowy;poludnie;0
51;5382;10;15;9;6;nowy;poludnie;0
31;8016;20;9;10;5;nowy;zachod;0
64;2006;21;11;14;3;nowy;poludnie;0
69;1979;32;9;5;3;nowy;wschod;0
34;2035;25;7;15;6;powracajacy;poludnie;0
57;7573;47;9;15;4;powracajacy;zachod;0
59;8644;33;7;6;4;nowy;centrum;0
52;6464;15;17;16;3;powracajacy;zachod;0
46;9384;48;9;3;5;powracajacy;poludnie;1
32;2922;46;12;6;1;nowy;centrum;0
43;3611;14;13;1;7;powracajacy;wschod;0
26;6312;38;3;11;1;powracajacy;wschod;1
37;7532;13;13;4;4;powracajacy;centrum;0
23;6535;35;10;6;6;nowy;zachod;0
62;5498;24;8;18;4;vip;poludnie;0
51;2830;4;7;5;5;powracajacy;zachod;0
41;6598;24;11;3;7;nowy;wschod;0
53;1182;25;13;14;7;powracajacy;centrum;0
51;5491;52;6;9;1;nowy;polnoc;0
65;1584;29;15;0;7;nowy;polnoc;0
44;9895;58;16;15;2;vip;polnoc;0
55;5593;15;17;8;2;powracajacy;zachod;0
50;9723;49;4;7;4;powracajacy;poludnie;0
41;1508;34;13;22;4;nowy;zachod;0
68;5846;48;13;21;6;nowy;wschod;0
66;2609;17;9;12;5;nowy;wschod;0
28;8023;56;8;9;5;powracajacy;centrum;1
58;8233;35;4;18;7;powracajacy;wschod;1
26;1019;16;8;3;5;powracajacy;zachod;0
24;7432;9;1;23;3;vip;wschod;1
66;1794;24;3;20;5;nowy;zachod;0
21;9962;42;2;15;5;powracajacy;zachod;0
53;4340;4;18;2;6;nowy;poludnie;0
23;4061;26;17;18;5;powracajacy;zachod;1
24;7526;29;4;6;3;nowy;wschod;0
47;7174;9;1;11;3;nowy;zachod;0
29;3270;11;10;13;2;nowy;polnoc;0
65;7661;43;10;1;1;powracajacy;zachod;0
34;7794;13;14;22;7;nowy;wschod;0
43;5907;10;3;12;6;powracajacy;wschod;0
22;4556;28;11;21;2;nowy;wschod;0
39;6953;7;12;22;6;nowy;poludnie;0
40;9980;47;18;1;3;nowy;wschod;0
21;5010;38;2;11;7;powracajacy;zachod;0
30;7378;19;4;13;1;nowy;zachod;0
47;7897;33;10;5;2;powracajacy;polnoc;0
55;6700;58;12;1;2;nowy;wschod;1
18;3761;32;7;2;3;vip;poludnie;0
43;2042;4;10;14;2;nowy;poludnie;0
47;9489;34;15;1;3;nowy;zachod;0
44;7430;32;11;13;3;powracajacy;wschod;0
24;3983;46;17;2;2;nowy;zachod;0
23;3560;21;7;0;7;nowy;polnoc;0
30;5694;21;12;22;3;nowy;zachod;0
26;4503;41;14;11;5;powracajacy;zachod;0
59;9588;14;15;14;4;vip;poludnie;0
32;1831;43;18;11;4;powracajacy;poludnie;0
34;9050;40;19;8;6;nowy;centrum;0
52;3537;10;14;17;2;nowy;polnoc;0
23;3653;53;4;2;2;nowy;centrum;0
53;8577;17;18;1;7;powracajacy;poludnie;0
43;4677;1;11;22;7;powracajacy;polnoc;0
23;8688;3;3;4;3;powracajacy;polnoc;0
28;3313;29;10;19;4;powracajacy;zachod;0
48;6546;51;18;11;2;nowy;zachod;0
44;4563;21;18;16;5;powracajacy;poludnie;0
24;8770;20;9;5;1;nowy;poludnie;0
67;3399;27;6;20;2;powracajacy;poludnie;0
47;8434;56;4;15;4;nowy;zachod;0
48;5240;28;10;15;2;nowy;poludnie;0
62;7636;45;8;8;6;vip;zachod;1
23;2027;32;2;15;4;nowy;centrum;0
18;3979;2;9;12;3;nowy;wschod;0
64;7382;49;14;22;7;powracajacy;centrum;0
45;2664;25;1;14;4;vip;poludnie;1
22;8088;25;5;22;5;nowy;wschod;0
54;6774;47;7;22;1;nowy;poludnie;1
38;9766;37;17;19;4;powracajacy;poludnie;0
21;8946;22;8;22;2;nowy;poludnie;0
62;8625;23;10;4;2;vip;zachod;0
53;7361;44;3;0;5;powracajacy;poludnie;1
30;9749;23;14;7;3;powracajacy;centrum;1
49;9076;11;7;6;7;nowy;poludnie;0
58;4216;50;1;2;1;vip;zachod;0
45;9387;21;11;18;6;nowy;zachod;0
24;7033;58;14;4;2;powracajacy;polnoc;0
36;2739;41;1;21;1;nowy;polnoc;0
20;6555;18;17;4;3;powracajacy;centrum;0
66;2028;10;8;12;5;nowy;polnoc;0
20;1415;2;2;5;5;nowy;poludnie;0
57;9171;58;3;0;6;powracajacy;centrum;0
38;1093;25;2;13;5;powracajacy;polnoc;0
26;6847;14;4;12;4;nowy;zachod;0
18;9970;47;2;5;5;nowy;poludnie;0
32;6770;59;17;22;1;powracajacy;wschod;0
53;6338;21;18;2;5;nowy;zachod;0
30;1722;14;1;9;6;nowy;centrum;0
23;8394;23;2;22;3;nowy;centrum;0
19;7929;39;14;8;2;powracajacy;centrum;0
42;9784;42;3;7;2;nowy;polnoc;0
30;7841;54;15;3;4;nowy;zachod;0
51;3774;7;16;18;2;nowy;polnoc;0
41;5575;24;14;0;5;nowy;wschod;0
40;5591;25;3;18;4;nowy;poludnie;1
44;2950;36;15;17;2;nowy;zachod;0
33;9745;27;13;17;3;nowy;polnoc;0
55;1756;51;8;12;2;nowy;polnoc;0
61;3523;51;15;4;5;powracajacy;wschod;0
26;4666;56;12;13;6;powracajacy;poludnie;0
30;6627;58;1;12;6;nowy;poludnie;1
66;5961;8;8;20;3;nowy;poludnie;0
22;3575;22;16;21;1;powracajacy;poludnie;0
61;8584;44;8;3;5;nowy;wschod;0
68;3322;37;2;20;1;nowy;zachod;0
19;4415;19;2;3;3;nowy;poludnie;0
27;6581;40;14;10;1;nowy;poludnie;0
56;6961;13;15;22;1;powracajacy;poludnie;0
68;8751;55;9;10;7;powracajacy;centrum;0
20;8978;19;9;21;4;powracajacy;centrum;0
58;8539;16;1;15;2;nowy;polnoc;1
29;5625;51;12;22;4;vip;poludnie;1
23;5914;36;3;1;3;vip;polnoc;0
29;2296;28;6;19;6;powracajacy;wschod;0
45;2156;30;12;23;6;nowy;polnoc;0
24;6650;2;16;8;4;nowy;wschod;0
32;3962;10;2;19;2;nowy;wschod;0
36;7662;47;13;6;6;nowy;wschod;0
